angDist,_RAJ2000,_DEJ2000,recno,A,Name,RAJ2000,DEJ2000,amaj,ell,[3.6],[4.5],c31,M3.6,M4.5,logM*,Dmean,TT,Vr,S4G,Simbad,NED,LEDA,_RAJ2000,_DEJ2000,recno,Name,f_Name,RAJ2000,DEJ2000,vlsr,PA,i,Dist,r_Dist,logMstar,f_logMstar,r25,Re,lstar,logSFR,f_logSFR,l_logLCO,logLCO,Corr,logMHI,Res1,Res2,S4G,L19,Ntot,N7m,N12m,Simbad,LEDA
0.521546,189.23493,14.21735,1989,,NGC4571,189.23493,14.21735,148.3,0.134,10.959,11.405,2.837,-20.285,-19.839,10.254,17.733,6.5,340.4,S4G,Simbad,NED,LEDA,189.235,14.217222,62,NGC4571,,12 36 56.4,+14 13 02,343.0,217.5,32.7,14.9,"   15",10.1,I,7.7,3.8,2.0,-0.54,FUVW4,,7.88,1.55,8.7,1.18,85.0,1,1,5,3,1,Simbad,LEDA
0.713175,189.4314,11.8182,1991,,NGC4579,189.4314,11.8182,252.4,0.288,9.122,9.599,5.171,-22.337,-21.86,11.098,19.583,2.9,1517.0,S4G,Simbad,NED,LEDA,189.43125,11.818333,63,NGC4579,,12 37 43.5,+11 49 06,1516.7,91.3,40.2,21.0,"   16",11.15,I,15.3,5.4,4.4,0.33,FUVW4,,8.79,1.38,9.02,1.79,182.7,1,1,8,7,2,Simbad,LEDA
0.934413,189.98318,10.17613,2000,,NGC4596,189.98318,10.17613,184.7,0.194,9.94,10.477,5.756,-21.187,-20.65,10.682,16.8,-0.9,1870.0,S4G,Simbad,NED,LEDA,189.982917,10.176111,64,NGC4596,X,12 39 55.9,+10 10 34,1883.3,120.0,36.6,15.76,"    7",10.59,I,9.0,2.7,3.8,-0.96,FUVW4,,6.72,1.83,,0.65,49.6,1,1,4,5,1,Simbad,LEDA
0.495445,345.54309,-39.56941,2137,,NGC7456,345.54309,-39.56941,178.9,0.658,11.929,12.365,2.884,-19.117,-18.681,9.779,16.185,6.0,1201.0,S4G,Simbad,NED,LEDA,345.542917,-39.569444,86,NGC7456,,23 02 10.3,-39 34 10,1192.3,16.0,67.3,15.7,"    2",9.65,I,9.4,4.4,2.9,-0.43,FUVW4,,7.13,2.02,9.28,1.68,127.8,1,1,3,1,2,Simbad,LEDA
0.311300,347.447,-43.42784,2142,,NGC7496,347.447,-43.42784,116.2,0.066,11.15,11.515,4.053,-19.733,-19.369,9.973,15.02,3.2,1651.7,S4G,Simbad,NED,LEDA,347.447083,-43.427778,87,NGC7496,,23 09 47.3,-43 25 40,1639.2,193.7,35.9,18.72,"  3,4",10.0,I,9.1,3.8,1.5,0.35,FUVW4,,8.33,1.15,9.07,1.68,152.0,1,1,9,3,2,Simbad,LEDA
0.277494,188.58457,8.19798,2202,,NGC4535,188.58457,8.19798,240.4,0.086,9.709,10.128,2.601,-21.438,-21.019,10.695,16.958,5.0,1961.6,S4G,Simbad,NED,LEDA,188.584583,8.198056,57,NGC4535,,12 34 20.3,+08 11 53,1953.6,179.7,44.7,15.77,"   11",10.54,I,18.7,6.3,3.8,0.34,FUVW4,,8.61,1.78,9.56,1.56,119.1,1,1,9,4,1,Simbad,LEDA
0.614339,188.61281,2.1882,2203,,NGC4536,188.61281,2.1882,252.8,0.597,9.903,9.961,13.489,-21.023,-20.965,10.262,15.321,4.3,1801.8,S4G,Simbad,NED,LEDA,188.612917,2.188333,58,NGC4536,,12 34 27.1,+02 11 18,1794.6,305.6,66.0,16.25,"    6",10.4,I,16.7,4.4,2.7,0.53,FUVW4,,8.62,1.06,9.54,1.48,116.3,1,1,18,11,5,Simbad,LEDA
0.543771,188.71193,15.5517,2205,,NGC4540,188.71193,15.5517,88.2,0.05,11.788,12.237,2.855,-19.338,-18.889,9.877,16.8,6.2,1287.3,S4G,Simbad,NED,LEDA,188.712083,15.551667,59,NGC4540,,12 34 50.9,+15 33 06,1286.5,12.8,28.7,15.76,"    7",9.79,I,5.0,2.0,1.4,-0.78,FUVW4,,7.69,1.16,8.44,1.37,104.8,1,1,3,2,1,Simbad,LEDA
0.675217,188.86023,14.49634,2209,,NGC4548,188.86023,14.49634,218.1,0.147,9.731,10.216,4.202,-21.316,-20.831,10.696,16.196,3.1,480.8,S4G,Simbad,NED,LEDA,188.860417,14.496389,60,NGC4548,,12 35 26.5,+14 29 47,482.7,138.0,38.3,16.22,"   11",10.7,I,13.1,5.4,3.0,-0.28,FUVW4,,8.16,2.0,8.84,1.69,132.7,1,1,7,5,1,Simbad,LEDA
0.135139,55.5062,-47.22196,2213,,NGC1433,55.5062,-47.22196,261.6,0.167,9.601,10.048,4.959,-20.39,-19.943,10.297,9.96,1.5,1077.1,S4G,Simbad,NED,LEDA,55.50625,-47.221944,15,NGC1433,,03 42 01.5,-47 13 19,1057.4,199.7,28.6,18.63,"    8",10.87,I,16.8,4.3,6.9,0.05,FUVW4,,8.47,1.38,9.4,1.1,99.1,1,1,24,8,2,Simbad,LEDA
0.295696,59.90229,-67.63387,2231,,NGC1511,59.90229,-67.63387,153.8,0.609,10.649,10.983,2.664,-20.44,-20.106,10.233,16.512,1.8,1330.1,S4G,Simbad,NED,LEDA,59.9025,-67.633889,16,NGC1511,,03 59 36.6,-67 38 02,1331.0,297.0,72.7,15.28,"    2",9.92,I,8.2,2.4,1.7,0.35,FUVW4,,8.22,1.09,9.57,1.45,107.1,1,1,7,3,1,Simbad,LEDA
0.692756,60.9756,-43.34875,2234,,NGC1512,60.9756,-43.34875,226.2,0.265,10.033,10.516,5.076,-20.414,-19.931,10.333,12.286,1.1,899.1,S4G,Simbad,NED,LEDA,60.975417,-43.348611,17,NGC1512,,04 03 54.1,-43 20 55,871.4,261.9,42.5,18.83,"    8",10.72,I,23.1,4.8,6.2,0.11,FUVW4,,8.26,1.45,9.88,1.03,94.5,1,1,12,4,2,Simbad,LEDA
0.313844,63.65126,-56.06092,2240,A,NGC1546,63.65126,-56.06092,144.7,0.193,10.487,10.91,4.325,-20.148,-19.726,10.182,13.4,-0.4,1281.1,S4G,Simbad,NED,LEDA,63.65125,-56.060833,18,NGC1546,,04 14 36.3,-56 03 39,1243.8,147.8,70.3,17.69,"    7",10.37,I,9.5,2.2,2.1,-0.08,FUVW4,,8.44,1.13,8.68,1.28,109.6,1,1,5,2,2,Simbad,LEDA
